feature_name,display_label,role,D0,FE1,FE2,FE3,FE4,producer_version,formula_or_rule,entry_status,notes
log2_word_count_plus1,Measured Content Length (log2),focal_content_predictor,Included,Included,Included,Inherit FE2,Inherit FE2,content_feature_transform_v1,log2(word_count + 1),approved,"Measured extracted-text length; not content quality; excerpt/full-text scope audited separately."
has_verified_html_table,Verified HTML Table Presence,focal_content_predictor,Included,Included,Included,Inherit FE2,Inherit FE2,document_structure_v1,"has_html_table when html_available=1; otherwise NA",approved,"Broad verified HTML-table proxy; measured absence is 0 and unmeasured is NA; legacy has_table forbidden."
factual_numeric_density_score,Factual and Numeric Specificity Score,focal_content_predictor,Included,Included,Included,Inherit FE2,Inherit FE2,writing_factual_density_v1,"min(number_token_per_1000_words/10,5)+I(percent>0)+I(year>0)+I(range>0)+log1p(measurement_count)",approved,"Specificity proxy, not factual accuracy or credibility."
writing_structure_score_v3,Answer-Oriented Writing Structure Score v3,focal_content_predictor,Included,Included,Included,Inherit FE2,Inherit FE2,writing_structure_v3,"has_main_content_unordered_list+has_main_content_ordered_list+has_faq_pattern+opening_has_summary_signal+opening_has_direct_answer_signal; NA unless all five components are measured",approved,"Q&A excluded because it duplicated FAQ exactly; extraction structure, not total writing quality."
has_direct_answer_gemini_v1,Direct Answer Presence (Gemini),focal_content_predictor,Included,Included,Included,Inherit FE2,Inherit FE2,gemini_position_semantic_prompt_v2_20260803,"1 if a successful Gemini main-content classification detects a direct answer; 0 if successfully measured absent; otherwise NA",approved_after_manual_review,"Pre-outcome semantic presence only; confidence/count/position fields are diagnostic-only; interpretation is conditional on successful Gemini measurement."
has_definition_gemini_v1,Definition Presence (Gemini),focal_content_predictor,Included,Included,Included,Inherit FE2,Inherit FE2,gemini_position_semantic_prompt_v2_20260803,"1 if a successful Gemini main-content classification detects a definition; 0 if successfully measured absent; otherwise NA",approved_after_manual_review,"Pre-outcome semantic presence only; confidence/count/position fields are diagnostic-only; interpretation is conditional on successful Gemini measurement."
has_comparison_gemini_v1,Comparison Content Presence (Gemini),focal_content_predictor,Included,Included,Included,Inherit FE2,Inherit FE2,gemini_position_semantic_prompt_v2_20260803,"1 if a successful Gemini main-content classification detects comparison content; 0 if successfully measured absent; otherwise NA",approved_after_manual_review,"Pre-outcome semantic presence only; confidence/count/position fields are diagnostic-only; interpretation is conditional on successful Gemini measurement."
has_steps_gemini_v1,Step-by-Step Structure Presence (Gemini),focal_content_predictor,Included,Included,Included,Inherit FE2,Inherit FE2,gemini_position_semantic_prompt_v2_20260803,"1 if a successful Gemini main-content classification detects procedural steps; 0 if successfully measured absent; otherwise NA",approved_after_manual_review,"Pre-outcome semantic presence only; confidence/count/position fields are diagnostic-only; interpretation is conditional on successful Gemini measurement."
has_numeric_evidence_gemini_v1,Numeric Evidence Presence (Gemini),focal_content_predictor,Included,Included,Included,Inherit FE2,Inherit FE2,gemini_position_semantic_prompt_v2_20260803,"1 if a successful Gemini main-content classification detects numeric evidence; 0 if successfully measured absent; otherwise NA",approved_after_manual_review,"Pre-outcome semantic presence only; distinct from the deterministic numeric-density score; confidence/count/position fields are diagnostic-only."
has_question_heading_gemini_v1,Question Heading Presence (Gemini),focal_content_predictor,Included,Included,Included,Inherit FE2,Inherit FE2,gemini_position_semantic_prompt_v2_20260803,"1 if a successful Gemini main-content classification detects a question-form heading; 0 if successfully measured absent; otherwise NA",approved_after_manual_review,"Pre-outcome semantic presence only; confidence/count/position fields are diagnostic-only; interpretation is conditional on successful Gemini measurement."
external_evidence_structure_score,External Evidence Structure Score,conditional_focal,Diagnostic,Excluded,Excluded,Excluded,Excluded,unresolved,Canonical producer and formula unresolved,blocked,"Do not substitute external_evidence_score."
content_strength,Extraction Strength,measurement_quality_control,Included,Excluded,Included,Inherit FE2,Inherit FE2,brightdata_content_pilot_v1,"failed if no successful text; strong if word_count>=300 and quality=ok; medium if >=100; weak otherwise",approved,"Extraction quality, not writing/content quality."
heading_count_group,Heading Count Group,descriptive_structural_diagnostic,Included,Excluded,Excluded,Excluded,Excluded,document_structure_v1,Threshold grouping of heading_count,descriptive_only,"No heading feature may substitute in FE1-FE4."
page_type_family_gemini_v1_collapsed,Collapsed Gemini Page Type,contextual_taxonomy_control,Included,Excluded,Excluded,Excluded,Included,gemini_3_1_flash_lite_taxonomy_v1,"Gemini content-informed classification; rare categories collapsed without outcome use",approved_fe4_only,"Unknown retained; sensitivity control may over-control content signals."
source_type_general_gemini_v1_collapsed,Collapsed Gemini Source Type,contextual_taxonomy_control,Included,Excluded,Excluded,Excluded,Included,gemini_3_1_flash_lite_taxonomy_v1,"Gemini content-informed classification; rare categories collapsed without outcome use",approved_fe4_only,"Unknown retained; sensitivity control may over-control content signals."
