feature_name,canonical_column_name,legacy_aliases,registry_record_type,replacement_feature_name,feature_granularity,page_aggregation_rule,feature_layer,feature_group,primitive_or_composite,definition,formula,source_provenance,required_input,transformation,language_dependency,extraction_requirement,missing_value_meaning,topic_specificity,generalizability,leakage_status,expected_confounders,measurement_risks,recommended_model_role,feature_status,current_implementation_status,taxonomy_or_rule_version,qa_status,approved_for_model_v1,minimum_qa_gate,model_entry_blocker,validation_requirement,notes,registry_version
contact_access_signal,contact_access_signal,purchase_or_contact_signal,canonical,,page_level,page-level commerce signal from measured contact controls and text,commerce_general,commerce_action,derived_primitive,"Visible access to contact, enquiry, consultation, or request-information actions.",documented cross-industry contact-access primitives,provenance_aware_table_extraction,"contact links, forms, controls, and visible text",nullable_binary_or_categorical,medium,table extractor with verified measured/unmeasured state,NA means extraction evidence was unavailable; zero requires measured absence.,commerce,conditional,safe_pre_outcome,domain; template; page function; publisher type; extraction quality,"Responsive duplication, nested tables, spans, rendering, and missing extraction evidence.",commerce_extension,commerce_general_keep,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,extraction and aggregation QA not yet passed,"Validate extraction, aggregation, support, missingness, and redundancy before model entry.","Separate from purchase, subscription, and booking actions.",core_general_table_registry_schema_v2
transactional_action_signal,transactional_action_signal,purchase_or_contact_signal,canonical,,page_level,page-level commerce signal from measured action controls and text,commerce_general,commerce_action,derived_primitive,"Visible action to purchase, subscribe, book, enroll, or start a service.",documented cross-industry transactional-action primitives,provenance_aware_table_extraction,"page controls, links, forms, and visible text",nullable_binary_or_categorical,medium,table extractor with verified measured/unmeasured state,NA means extraction evidence was unavailable; zero requires measured absence.,commerce,conditional,safe_pre_outcome,domain; template; page function; publisher type; extraction quality,"Responsive duplication, nested tables, spans, rendering, and missing extraction evidence.",commerce_extension,commerce_general_keep,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,extraction and aggregation QA not yet passed,"Validate extraction, aggregation, support, missingness, and redundancy before model entry.",Separate from contact or enquiry access.,core_general_table_registry_schema_v2
purchase_or_contact_signal,purchase_or_contact_signal,,deprecated_alias,transactional_action_signal,registry_metadata,not_applicable,commerce_general,commerce_action,composite,"Visible action to buy, book, request, contact or start service.",versioned CTA primitives from content controls/text,html_dom_or_text,"buttons, forms, links and visible text",categorical_or_binary,high,DOM context and multilingual CTA rules,Missing means action structure was unavailable.,commerce,conditional,safe_pre_outcome,page function; template,Navigation CTAs and persistent headers create false positives.,deprecated_alias,diagnostic_only,legacy_implemented,core_general_content_features_v1,not_started,false,not_applicable,deprecated alias; use transactional_action_signal,Separate content CTA from global navigation.,,core_general_table_registry_schema_v2
commercial_offer_comparison_signal,commercial_offer_comparison_signal,product_comparison_signal,canonical,,page_level,page-level commerce signal from measured comparison structures,commerce_general,commerce_comparison,derived_primitive,"Comparison of products, services, providers, plans, or commercial offers.",documented commerce comparison primitives,provenance_aware_table_extraction,"comparison tables, headings, and page text",nullable_binary_or_score,medium,table extractor with verified measured/unmeasured state,NA means extraction evidence was unavailable; zero requires measured absence.,commerce,conditional,safe_pre_outcome,domain; template; page function; publisher type; extraction quality,"Responsive duplication, nested tables, spans, rendering, and missing extraction evidence.",commerce_extension,commerce_general_keep,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,extraction and aggregation QA not yet passed,"Validate extraction, aggregation, support, missingness, and redundancy before model entry.",Replaces the narrower product_comparison_signal name.,core_general_table_registry_schema_v2
product_comparison_signal,product_comparison_signal,,deprecated_alias,commercial_offer_comparison_signal,registry_metadata,not_applicable,commerce_general,commerce_comparison,composite,"Commercial comparison of products, plans or providers.",documented table/text comparison primitives,html_dom_or_text,comparison primitives,binary_or_score,high,reliable tables and multilingual rules,Missing means comparison evidence was unavailable.,commerce,conditional,safe_pre_outcome,page type; transactional intent,Editorial comparisons may overlap Core-General table structure.,deprecated_alias,diagnostic_only,legacy_implemented,core_general_content_features_v1,not_started,false,not_applicable,deprecated alias; use commercial_offer_comparison_signal,Validate commerce versus informational comparisons.,,core_general_table_registry_schema_v2
availability_signal,availability_signal,,canonical,,not_table_related,not_applicable,commerce_general,commerce_detail,composite,"Visible stock, booking, service or enrollment availability.",versioned cross-industry availability primitives,page_text_or_schema,text and structured data,categorical_or_binary,high,commerce schema/text parsing,Missing means availability could not be measured.,commerce,conditional,safe_pre_outcome,page type; current inventory,"Meaning differs for products, services and appointments.",commerce_extension,commerce_general_keep,planned_not_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Validate separately by commerce subtype.,,core_general_table_registry_schema_v2
price_detail_score,price_detail_score,,canonical,,not_table_related,not_applicable,commerce_general,commerce_detail,composite,General price/currency/range/detail signal for commercial pages.,documented combination of price primitives only,page_text_or_tables,"currency, amount, range and price-label primitives",bounded_score,high,multilingual currency/price parser,Missing means content was unavailable; zero means measured absence.,commerce,conditional,safe_pre_outcome,commercial page type; market,Currency patterns and subscription prices vary by industry.,commerce_extension_focal,commerce_general_keep,planned_not_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Split from unit terms; retain every price primitive and test dominance.,,core_general_table_registry_schema_v2
rating_review_signal,rating_review_signal,,canonical,,not_table_related,not_applicable,commerce_general,commerce_trust,composite,"Visible rating value, rating count or review structure.",documented components from schema and visible content,html_schema_and_text,ratings/reviews primitives,categorical_or_score,medium,schema and visible-content validation,Missing means review evidence was unavailable.,commerce,conditional,safe_pre_outcome,platform and product type,Self-published ratings may not be independent evidence.,commerce_extension,commerce_general_keep,planned_not_implemented,core_general_content_features_v1,not_started,false,pending_human_threshold,not yet reviewed for Core-General model v1,Preserve rating value/count/source primitives.,,core_general_table_registry_schema_v2
pricing_or_plan_table_count,pricing_or_plan_table_count,,canonical,,page_level,count(table_type_primary == pricing_or_plan),commerce_general,table_commerce,primitive,Page count of pricing_or_plan primary tables.,count(table_type_primary == pricing_or_plan),table_level_extraction,preserved HTML/Markdown table evidence,binary_or_count,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,commerce,conditional,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",commerce_extension_only,commerce_general_keep,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Validate only on commercial samples; exclude from universal Core-General headline models.,Pricing and commerce structure may primarily identify commercial page function.,core_general_table_registry_schema_v2
table_has_availability,table_has_availability,,canonical,,table_level,max over measured tables; count tables satisfying condition in Commerce-General extension,commerce_general,table_commerce,primitive,"Table presents stock, booking, service, or enrollment availability.",1[validated availability structure],table_level_extraction,preserved HTML/Markdown table evidence,binary_or_count,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,commerce,conditional,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",commerce_extension_only,commerce_general_keep,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Validate only on commercial samples; exclude from universal Core-General headline models.,Pricing and commerce structure may primarily identify commercial page function.,core_general_table_registry_schema_v2
table_has_commercial_offer_comparison,table_has_commercial_offer_comparison,,canonical,,table_level,max over measured tables; count tables satisfying condition in Commerce-General extension,commerce_general,table_commerce,primitive,"Table compares commercial offers, products, plans, or providers.",1[validated commercial comparison structure],table_level_extraction,preserved HTML/Markdown table evidence,binary_or_count,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,commerce,conditional,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",commerce_extension_only,commerce_general_keep,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Validate only on commercial samples; exclude from universal Core-General headline models.,Pricing and commerce structure may primarily identify commercial page function.,core_general_table_registry_schema_v2
table_has_price,table_has_price,,canonical,,table_level,max over measured tables; count tables satisfying condition in Commerce-General extension,commerce_general,table_commerce,primitive,Table contains explicit price or currency details.,1[validated price detail in table cells],table_level_extraction,preserved HTML/Markdown table evidence,binary_or_count,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,commerce,conditional,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",commerce_extension_only,commerce_general_keep,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Validate only on commercial samples; exclude from universal Core-General headline models.,Pricing and commerce structure may primarily identify commercial page function.,core_general_table_registry_schema_v2
table_has_pricing_plan,table_has_pricing_plan,,canonical,,table_level,max over measured tables; count tables satisfying condition in Commerce-General extension,commerce_general,table_commerce,primitive,"Table presents commercial plans, tiers, or packages.",1[validated plan/tier structure],table_level_extraction,preserved HTML/Markdown table evidence,binary_or_count,medium,provenance-aware table extraction,NA means required table evidence was unmeasured; 0 is allowed only after verified absence.,commerce,conditional,safe_pre_outcome,domain; website template; page function; publisher type; extraction quality,"JavaScript rendering, flattened tables, responsive duplicates, and layout markup can alter measurement.",commerce_extension_only,commerce_general_keep,planned_not_implemented,core_general_table_taxonomy_v1,pending_human_threshold,false,pending_human_threshold,table extraction and classification QA not yet passed,Validate only on commercial samples; exclude from universal Core-General headline models.,Pricing and commerce structure may primarily identify commercial page function.,core_general_table_registry_schema_v2
