feature_name,feature_family,subfamily,feature_type,granularity,source_input,transformation,interpretation,generality_scope,proposed_model_role,current_qa_status,approved_for_model_v1,model_entry_blocker,leakage_status,version
contact_access_signal,Commerce-General,commerce_action,nullable_binary_or_categorical,page_level,"Input C: scraper/page evidence (contact links, forms, controls, and visible text)",nullable_binary_or_categorical,"Visible access to contact, enquiry, consultation, or request-information actions.",commerce,optional Commerce-General module,pending_human_threshold,False,extraction and aggregation QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
transactional_action_signal,Commerce-General,commerce_action,nullable_binary_or_categorical,page_level,"Input C: scraper/page evidence (page controls, links, forms, and visible text)",nullable_binary_or_categorical,"Visible action to purchase, subscribe, book, enroll, or start a service.",commerce,optional Commerce-General module,pending_human_threshold,False,extraction and aggregation QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
commercial_offer_comparison_signal,Commerce-General,commerce_comparison,nullable_binary_or_score,page_level,"Input C: scraper/page evidence (comparison tables, headings, and page text)",nullable_binary_or_score,"Comparison of products, services, providers, plans, or commercial offers.",commerce,optional Commerce-General module,pending_human_threshold,False,extraction and aggregation QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
availability_signal,Commerce-General,commerce_detail,categorical_or_binary,not_table_related,Input C: scraper/page evidence (text and structured data),categorical_or_binary,"Visible stock, booking, service or enrollment availability.",commerce,optional Commerce-General module,not_started,False,not yet reviewed for Core-General model v1,safe_pre_outcome,core_general_table_registry_schema_v2
price_detail_score,Commerce-General,commerce_detail,bounded_score,not_table_related,"Input C: scraper/page evidence (currency, amount, range and price-label primitives)",bounded_score,General price/currency/range/detail signal for commercial pages.,commerce,optional Commerce-General module,not_started,False,not yet reviewed for Core-General model v1,safe_pre_outcome,core_general_table_registry_schema_v2
rating_review_signal,Commerce-General,commerce_trust,categorical_or_score,not_table_related,Input C: scraper/page evidence (ratings/reviews primitives),categorical_or_score,"Visible rating value, rating count or review structure.",commerce,optional Commerce-General module,not_started,False,not yet reviewed for Core-General model v1,safe_pre_outcome,core_general_table_registry_schema_v2
currency_price_mention_count,Commerce-General,factual specificity,count,not_in_current_dataset,Input C: scraper/page evidence (proposed_writing),page text only,THB/baht/price mentions Model interpretation: binary plus log2 count,commerce cross-topic,optional Commerce-General module,proposed_or_dictionary_only,False,redesigned model-entry QA and human approval required,legacy_risk_requires_validation,master_inventory_2026_07_18
has_price_detail,Commerce-General,factual_numeric,regex_count_or_composite,source_appearance,Input C: scraper/page evidence (writing_factual),Bilingual deterministic regex counts; factual_numeric_density_score = capped numeric tokens/1000 words + percent/year/range indicators + log1p(measurements); price_unit_detail_score = price/unit indicators + log1p price and unit counts.,Factual and numerical specificity observed in the captured page text. Model interpretation: priority_screening_candidate,commerce cross-topic,optional Commerce-General module,extracted_writing_feature,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
pricing_or_plan_table_count,Commerce-General,table_commerce,binary_or_count,page_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),binary_or_count,Page count of pricing_or_plan primary tables.,commerce,optional Commerce-General module,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
table_has_availability,Commerce-General,table_commerce,binary_or_count,table_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),binary_or_count,"Table presents stock, booking, service, or enrollment availability.",commerce,optional Commerce-General module,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
table_has_commercial_offer_comparison,Commerce-General,table_commerce,binary_or_count,table_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),binary_or_count,"Table compares commercial offers, products, plans, or providers.",commerce,optional Commerce-General module,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
table_has_price,Commerce-General,table_commerce,binary_or_count,table_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),binary_or_count,Table contains explicit price or currency details.,commerce,optional Commerce-General module,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
table_has_pricing_plan,Commerce-General,table_commerce,binary_or_count,table_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),binary_or_count,"Table presents commercial plans, tiers, or packages.",commerce,optional Commerce-General module,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
table_has_rating_or_review,Commerce-General,table_commerce,binary_or_count,table_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),binary_or_count,"Table presents ratings, review counts, or review summaries.",commerce,optional Commerce-General module,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
table_has_transactional_structure,Commerce-General,table_content,binary_or_count,table_level,Input C: scraper/page evidence (preserved HTML/Markdown table evidence),binary_or_count,Table contains form-like or transaction-action structure.,general,optional Commerce-General module,pending_human_threshold,False,table extraction and classification QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
has_any_transactional_or_form_table,Commerce-General,table_page_aggregate,nullable_binary_or_count,page_level,Input C: scraper/page evidence (measured table-level records),nullable_binary_or_count,Page has at least one transactional/form table.,general,optional Commerce-General module,pending_human_threshold,False,extraction and aggregation QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
transactional_or_form_table_count,Commerce-General,table_page_aggregate,nullable_binary_or_count,page_level,Input C: scraper/page evidence (measured table-level records),nullable_binary_or_count,Count of transactional/form tables.,general,optional Commerce-General module,pending_human_threshold,False,extraction and aggregation QA not yet passed,safe_pre_outcome,core_general_table_registry_schema_v2
definition_pattern_flag,Core-General,answerability,binary,not_in_current_dataset,Input C: scraper/page evidence (proposed_writing),first content block,Page begins with an explicit definition/explanation Model interpretation: binary,cross-topic,Core-General candidate; requires QA and human approval,proposed_or_dictionary_only,False,redesigned model-entry QA and human approval required,legacy_risk_requires_validation,master_inventory_2026_07_18
faq_schema_flag,Core-General,answerability,binary,not_in_current_dataset,Input C: scraper/page evidence (proposed_writing),structured data,FAQPage structured data Model interpretation: binary,cross-topic,Core-General candidate; requires QA and human approval,proposed_or_dictionary_only,False,redesigned model-entry QA and human approval required,legacy_risk_requires_validation,master_inventory_2026_07_18
opening_summary_flag,Core-General,answerability,binary,not_in_current_dataset,Input C: scraper/page evidence (proposed_writing),first content block,Opening section gives a concise summary before detail Model interpretation: binary,cross-topic,Core-General candidate; requires QA and human approval,proposed_or_dictionary_only,False,redesigned model-entry QA and human approval required,legacy_risk_requires_validation,master_inventory_2026_07_18
avg_paragraph_words,Core-General,clarity,continuous,not_in_current_dataset,Input C: scraper/page evidence (proposed_writing),paragraph blocks,Average words per paragraph Model interpretation: spline or bins,cross-topic,Core-General candidate; requires QA and human approval,proposed_or_dictionary_only,False,redesigned model-entry QA and human approval required,legacy_risk_requires_validation,master_inventory_2026_07_18
avg_sentence_length,Core-General,clarity,continuous,not_in_current_dataset,Input C: scraper/page evidence (proposed_writing),page text only,Average tokens per sentence Model interpretation: spline or bins,cross-topic,Core-General candidate; requires QA and human approval,proposed_or_dictionary_only,False,redesigned model-entry QA and human approval required,legacy_risk_requires_validation,master_inventory_2026_07_18
generated_markdown_path,Core-General,content_evidence_and_provenance,text_or_provenance,source_appearance | url,Input C: scraper/page evidence (document_structure),Extracted from HTML/DOM.,Filesystem path to the stored generated markdown audit artifact. Model interpretation: diagnostic_only,cross-topic,Core-General diagnostic/candidate; requires QA and human approval,extracted_document_feature_not_yet_modeled,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
meta_description,Core-General,content_evidence_and_provenance,text,url,Input C: scraper/page evidence (actual_dataset_schema),See the producing module; no standalone rule is documented yet.,Pipeline field representing meta description. See source-layer and caveat columns before model use. Model interpretation: Pipeline field representing meta description. See source-layer and caveat columns before model use.,cross-topic,Core-General diagnostic/candidate; requires QA and human approval,active_pipeline_field,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
page_text_excerpt,Core-General,content_evidence_and_provenance,text,source_appearance | url,Input C: scraper/page evidence (actual_dataset_schema),See the producing module; no standalone rule is documented yet.,Pipeline field representing page text excerpt. See source-layer and caveat columns before model use. Model interpretation: Pipeline field representing page text excerpt. See source-layer and caveat columns before model use.,cross-topic,Core-General diagnostic/candidate; requires QA and human approval,active_pipeline_field,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
page_title,Core-General,content_evidence_and_provenance,text,url,Input C: scraper/page evidence (actual_dataset_schema),See the producing module; no standalone rule is documented yet.,Pipeline field representing page title. See source-layer and caveat columns before model use. Model interpretation: Pipeline field representing page title. See source-layer and caveat columns before model use.,cross-topic,Core-General diagnostic/candidate; requires QA and human approval,active_pipeline_field,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
url_description,Core-General,content_evidence_and_provenance,text,source_appearance,Input C: scraper/page evidence (actual_dataset_schema),See the producing module; no standalone rule is documented yet.,Pipeline field representing url description. See source-layer and caveat columns before model use. Model interpretation: Pipeline field representing url description. See source-layer and caveat columns before model use.,cross-topic,Core-General diagnostic/candidate; requires QA and human approval,active_pipeline_field,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
url_title,Core-General,content_evidence_and_provenance,text,source_appearance,Input C: scraper/page evidence (actual_dataset_schema),See the producing module; no standalone rule is documented yet.,Pipeline field representing url title. See source-layer and caveat columns before model use. Model interpretation: Pipeline field representing url title. See source-layer and caveat columns before model use.,cross-topic,Core-General diagnostic/candidate; requires QA and human approval,active_pipeline_field,False,redesigned model-entry QA and human approval required,safe_pre_outcome,master_inventory_2026_07_18
